Player,Team,,,Season,,,,,,MP,,,,,,,,,,,,,,,,,,,,,,,,,,USG%,,,,,,,,,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip T.,London Lions,Paris Basketball,EuroCup,2023-2024,26/12/2023,13,REGULAR SEASON,A,L,28,9,1,4,25.00%,1,4,25.00%,2,8,25.00%,4,4,100.00%,0,6,6,1,2,0,1,2,2,9,-13,1200.00%,21.10%,0.75,92.7,116.4,-23.7,72.8,105.4,-3260.00%,31.30%,45.00%,0.00%,0.00%,25.00%,67.00%,8.30%,0.00%,0.00%,0.00%,33.30%,75.00%,16.70%,16.70%,8.30%,8.30%,5.00%,9.10%,0.00%,0.00%,7.10%,0.00%,0.00%,0.00%,0.00%,20.00%,16.70%,21.10%,20.00%,11.30%,0.00%,2.00%,0.00%,4.50%
Phillip T.,London Lions,BC Prometey,EuroCup,2023-2024,20/12/2023,12,REGULAR SEASON,H,W,24,10,3,5,60.00%,1,4,25.00%,4,9,44.40%,1,1,100.00%,0,2,2,6,1,0,1,1,3,14,6,1000.00%,18.20%,1,114,94.4,19.6,123.8,94.3,2950.00%,50.00%,55.60%,0.00%,0.00%,50.00%,120.00%,0.00%,0.00%,10.00%,0.00%,30.00%,100.00%,0.00%,10.00%,0.00%,10.00%,26.10%,30.00%,33.30%,16.70%,31.60%,0.00%,0.00%,0.00%,0.00%,6.70%,6.30%,7.70%,0.00%,3.60%,0.00%,1.90%,3.20%,0.00%
Phillip T.,London Lions,Hamburg Towers,EuroCup,2023-2024,13/12/2023,11,REGULAR SEASON,H,L,27,10,5,12,41.70%,0,3,0.00%,5,15,33.30%,0,0,0.00%,3,0,3,4,0,0,0,2,4,9,-4,1500.00%,24.60%,0.667,100,108,-8,100.2,107.3,-710.00%,33.30%,33.30%,6.70%,200.00%,66.70%,60.00%,6.70%,200.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.00%,25.00%,0.00%,20.00%,23.50%,10.00%,15.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.30%,0.00%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Reyer Venezia,EuroCup,2023-2024,05/12/2023,10,REGULAR SEASON,A,W,25,10,2,5,40.00%,1,2,50.00%,3,7,42.90%,3,10,30.00%,0,3,3,2,3,2,0,2,5,6,-2,1500.00%,27.80%,0.667,120.4,119.6,0.8,73.8,98.6,-2480.00%,50.00%,41.70%,0.00%,0.00%,33.30%,80.00%,0.00%,0.00%,0.00%,0.00%,13.30%,150.00%,33.30%,20.00%,6.70%,13.30%,9.50%,0.00%,16.70%,33.30%,13.30%,0.00%,0.00%,0.00%,0.00%,8.80%,5.60%,13.30%,0.00%,5.50%,3.90%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Wolves Vilnius,EuroCup,2023-2024,28/11/2023,9,REGULAR SEASON,A,W,18,7,3,5,60.00%,0,1,0.00%,3,6,50.00%,1,2,50.00%,1,2,3,3,0,2,0,2,1,10,2,700.00%,17.50%,1,128.6,122.9,5.7,150.9,105.4,4550.00%,50.00%,50.00%,0.00%,0.00%,57.10%,150.00%,14.30%,0.00%,0.00%,0.00%,14.30%,0.00%,14.30%,0.00%,0.00%,0.00%,18.80%,0.00%,50.00%,0.00%,18.80%,5.60%,11.10%,0.00%,0.00%,13.30%,0.00%,33.30%,0.00%,9.10%,5.70%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Badalona,EuroCup,2023-2024,08/11/2023,6,REGULAR SEASON,A,W,24,13,3,6,50.00%,1,3,33.30%,4,9,44.40%,4,4,100.00%,1,4,5,5,1,1,0,3,4,17,0,1200.00%,22.60%,1.083,113.6,108.7,4.9,137.4,93.5,4390.00%,50.00%,59.10%,25.00%,133.00%,25.00%,67.00%,0.00%,0.00%,8.30%,0.00%,16.70%,150.00%,16.70%,8.30%,0.00%,8.30%,26.30%,25.00%,50.00%,25.00%,27.80%,4.20%,12.50%,0.00%,0.00%,14.30%,6.70%,25.00%,0.00%,9.60%,2.20%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Hapoel Tel Aviv,EuroCup,2023-2024,02/11/2023,5,REGULAR SEASON,H,L,23,9,1,3,33.30%,1,2,50.00%,2,5,40.00%,4,5,80.00%,2,1,3,3,5,1,0,4,5,7,-5,1200.00%,22.20%,0.75,110.9,124.4,-13.5,81.4,114.8,-3340.00%,50.00%,64.30%,0.00%,0.00%,25.00%,67.00%,0.00%,0.00%,0.00%,0.00%,16.70%,150.00%,16.70%,41.70%,25.00%,16.70%,16.70%,8.30%,25.00%,33.30%,18.80%,9.10%,7.70%,11.10%,0.00%,5.60%,0.00%,12.50%,0.00%,7.50%,2.20%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Paris Basketball,EuroCup,2023-2024,24/10/2023,4,REGULAR SEASON,H,L,36,11,4,7,57.10%,1,4,25.00%,5,11,45.50%,0,0,0.00%,0,5,5,9,3,2,0,3,5,20,12,1400.00%,17.50%,0.786,109.9,95.7,14.2,121.6,86.8,3480.00%,50.00%,50.00%,7.10%,200.00%,28.60%,100.00%,14.30%,100.00%,0.00%,0.00%,28.60%,75.00%,0.00%,21.40%,21.40%,0.00%,28.10%,46.70%,40.00%,0.00%,40.90%,0.00%,0.00%,0.00%,0.00%,13.90%,12.50%,16.70%,0.00%,7.40%,2.90%,0.00%,0.00%,0.00%
Phillip T.,London Lions,BC Prometey,EuroCup,2023-2024,18/10/2023,3,REGULAR SEASON,A,W,29,8,2,5,40.00%,0,1,0.00%,2,6,33.30%,4,4,100.00%,0,2,2,8,1,0,0,3,8,17,26,900.00%,13.80%,0.889,146.6,101.7,44.9,138,92,4600.00%,33.30%,50.00%,33.30%,67.00%,11.10%,200.00%,11.10%,0.00%,0.00%,0.00%,11.10%,0.00%,22.20%,11.10%,11.10%,0.00%,24.20%,18.20%,50.00%,16.70%,38.10%,0.00%,0.00%,0.00%,0.00%,4.20%,0.00%,11.10%,0.00%,2.90%,0.00%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Hamburg Towers,EuroCup,2023-2024,10/10/2023,2,REGULAR SEASON,A,W,29,18,2,4,50.00%,3,5,60.00%,5,9,55.60%,5,8,62.50%,0,4,4,4,0,1,0,3,8,25,4,1300.00%,21.70%,1.385,126.8,121.8,5,165.3,112.9,5240.00%,72.20%,69.20%,15.40%,100.00%,15.40%,100.00%,0.00%,0.00%,0.00%,0.00%,38.50%,180.00%,30.80%,0.00%,0.00%,0.00%,17.40%,8.30%,50.00%,0.00%,23.50%,0.00%,0.00%,0.00%,0.00%,17.40%,12.50%,23.10%,0.00%,9.80%,1.80%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Reyer Venezia,EuroCup,2023-2024,04/10/2023,1,REGULAR SEASON,H,W,24,8,2,5,40.00%,0,3,0.00%,2,8,25.00%,4,4,100.00%,0,6,6,2,3,3,0,1,3,12,0,1300.00%,25.50%,0.615,88.9,87,1.9,81.3,72.2,910.00%,25.00%,40.00%,0.00%,0.00%,38.50%,80.00%,0.00%,0.00%,0.00%,0.00%,23.10%,0.00%,15.40%,23.10%,15.40%,7.70%,14.30%,14.30%,33.30%,0.00%,13.30%,0.00%,0.00%,0.00%,0.00%,26.10%,20.00%,36.40%,0.00%,13.00%,6.50%,0.00%,0.00%,0.00%
